# X, Y, wSS_x, wSS_y, wSS_z
1.250000000000000000e+03 4.166666666666670267e+02 -4.822869238997339880e-01 -2.315752878267129944e-01 -2.315752878267129944e-01
1.250000000000000000e+03 4.166666666666670267e+02 -4.822904917346639841e-01 -2.315732473384659873e-01 -2.315732473384659873e-01
1.282051282051279941e+03 4.273504273504270259e+02 -4.822869238997339880e-01 -2.315752878267129944e-01 -2.315752878267129944e-01
1.314102564102560109e+03 4.380341880341879914e+02 -4.822832448585540055e-01 -2.315772650236569974e-01 -2.315772650236569974e-01
1.346153846153850054e+03 4.487179487179490138e+02 -4.822756577894810048e-01 -2.315810925341690030e-01 -2.315810925341690030e-01
1.378205128205129995e+03 4.594017094017099794e+02 -4.822183017612490241e-01 -2.315437114474080127e-01 -2.315437114474080127e-01
1.410256410256409936e+03 4.700854700854699786e+02 -4.822148175275540183e-01 -2.315457769543330102e-01 -2.315457769543330102e-01
1.442307692307690104e+03 4.807692307692310010e+02 -4.822112559411029786e-01 -2.315478110288879954e-01 -2.315478110288879954e-01
1.442307692307690104e+03 4.807692307692310010e+02 -4.822076369880219926e-01 -2.315498278091349948e-01 -2.315498278091349948e-01
1.474358974358970045e+03 4.914529914529910002e+02 -4.821515313456060103e-01 -2.315131466678740091e-01 -2.315131466678740091e-01
